"id_hecho","fecha","año","mes","dia","hora_detallada","hora","dia_semana","","direccion","comuna","tipo_de_calle","geocodificacion_caba","longitud","latitud","causante","afectado","n_victimas","","",""
"LC-2022-0703395","2023-01-05","2023","Enero","5","9:41:00 AM","9","Jueves","GARCÍA, JUAN AGUSTÍN y ARGERICH","García, Juan Agustín Y Argerich","11","Calle","POINT(98145.8962 102016.8534)","-58.48351","-34.61108","Bicicleta","Utilitario","1","","",""
"LC-2022-0703397","2023-01-05","2023","Enero","5","12:44:00 PM","12","Jueves","POLA y GARZÓN, EUGENIO, GRAL. AV.","Pola Y Garzón, Eugenio, Gral. Av.","9","Avenida","POINT(97391.005 96964.29238)","-58.49176","-34.65663","Camión","Auto","2","","",""
"LC-2022-0703569","2023-01-05","2023","Enero","5","12:00:00 PM","12","Jueves","GORDILLO, TIMOTEO e IBARROLA","Gordillo, Timoteo E Ibarrola","9","Calle","POINT(94600.31573 98648.4092)","-58.52219","-34.64143","Bicicleta","Auto","1","","",""
"LC-2022-0703695","2023-01-05","2023","Enero","5","11:07:00 AM","11","Jueves","JUSTO, JUAN B. AV. y TUPAC AMARU","Justo, Juan B. Av. Y Tupac Amaru","10","Avenida","POINT(97272.34285 100103.7044)","-58.49304","-34.62833","Moto","Auto","1","","",""
"LC-2022-0703846","2023-01-05","2023","Enero","5","11:30:00 AM","11","Jueves","BALBÍN, RICARDO, DR. AV. y BLANCO ENCALADA","Balbín, Ricardo, Dr. Av. Y Blanco Encalada","13","Avenida","POINT(99834.84784 107376.1164)","-58.4651","-34.56277","Bicicleta","Transporte Público","1","","",""
"LC-2022-0703848","2023-01-05","2023","Enero","5","10:15:00 AM","10","Jueves","ÁLVAREZ JONTE AV. y BERMÚDEZ","Álvarez Jonte Av. Y Bermúdez","10","Avenida","POINT(95923.18379 100939.8492)","-58.50775","-34.62078","Auto","Auto","1","","",""
"LC-2022-0703856","2023-01-05","2023","Enero","5","1:25:00 PM","13","Jueves","RIVADAVIA AV. y CHIVILCOY","Rivadavia Av. Y Chivilcoy","10","Avenida","POINT(98311.99013 99499.60717)","-58.4817","-34.63377","Peatón","Auto","1","","",""
"LC-2022-0703988","2023-01-05","2023","Enero","5","2:45:00 PM","14","Jueves","HORNOS, GRAL. 1701","Hornos, Gral. 1701","4","Calle","POINT(108175.5945 97954.86242)","-58.37489","-34.64717","Moto","Moto","1","","",""
"LC-2022-0704010","2023-01-05","2023","Enero","5","5:00:00 PM","17","Jueves","NAZCA AV. y CAMARONES","Nazca Av. Y Camarones","11","Avenida","POINT(98411.29995 101869.4678)","-58.48062","-34.61241","Moto","Auto","1","","",""
"LC-2022-0704054","2023-01-05","2023","Enero","5","4:13:00 PM","16","Jueves","GAONA AV. y SANABRIA","Gaona Av. Y Sanabria","10","Avenida","POINT(97651.37298 100233.3443)","-58.48891","-34.62716","Moto","Camión","1","","",""
"LC-2023-0000136","2023-01-05","2023","Enero","5","6:15:00 PM","18","Jueves","LAMAS, ANDRÉS y TRES ARROYOS","Lamas, Andrés Y Tres Arroyos","11","Calle","POINT(99775.73415 101950.2553)","-58.46574","-34.61168","Moto","Transporte Público","1","","",""
"LC-2023-0000214","2023-01-05","2023","Enero","5","5:50:00 PM","17","Jueves","SANTA FE AV. 1747","Santa Fe Av. 1747","2","Avenida","POINT(106483.3783 103714.2374)","-58.39262","-34.59576","Transporte Público","Auto","1","","",""
"LC-2023-0000340","2023-01-05","2023","Enero","5","6:55:00 PM","18","Jueves","MURGUIONDO y CHILAVERT, MARTINIANO, CORONEL","Murguiondo Y Chilavert, Martiniano, Coronel","8","Calle","POINT(99379.50779 94225.8043)","-58.47007","-34.68131","Auto","Moto","1","","",""
"LC-2023-0000444","2023-01-05","2023","Enero","5","7:00:00 PM","19","Jueves","RIVADAVIA AV. y ENTRE RÍOS AV.","Rivadavia Av. Y Entre Ríos Av.","3","Avenida","POINT(106543.3556 102220.3708)","-58.39196","-34.60923","Peatón","Transporte Público","1","","",""
"LC-2023-0000534","2023-01-05","2023","Enero","5","3:50:00 PM","15","Jueves","LIMA 1425","Lima 1425","1","Calle","POINT(107420.933 100461.2704)","-58.38237","-34.62508","Transporte Público","Taxi","1","","",""
"LC-2023-0000583","2023-01-05","2023","Enero","5","8:42:00 PM","20","Jueves","SANABRIA y CAMARONES","Sanabria Y Camarones","10","Calle","POINT(97086.58886 100775.8364)","-58.49506","-34.62227","Peatón","Auto","1","","",""
"LC-2023-0000608","2023-01-05","2023","Enero","5","9:00:00 PM","21","Jueves","CARABOBO AV. y DIRECTORIO AV.","Carabobo Av. Y Directorio Av.","7","Avenida","POINT(100818.0392 99752.65537)","-58.45437","-34.63149","Peatón","Auto","1","","",""
"LC-2023-0000712","2023-01-05","2023","Enero","5","11:00:00 PM","23","Jueves","SAN MARTÍN AV. y TERRADA","San Martín Av. Y Terrada","15","Avenida","POINT(97439.07305 103559.4078)","-58.49121","-34.59718","Moto","Auto","1","","",""
"LC-2023-0001995","2023-01-05","2023","Enero","5","9:10:00 PM","21","Jueves","JURAMENTO y ALTOLAGUIRRE","Juramento Y Altolaguirre","12","Calle","POINT(97764.65802 105353.9861)","-58.48766","-34.581","Moto","Auto","1","","",""
